id,area,name,type,type2,Lat,Lon,totalcar
237,中山區,建國北路高架橋下E區,1,1,25.056568892263982,121.53696913352843,70
238,中山區,建國北路高架橋下F區,1,1,25.057189168370524,121.53693073471938,105
239,中山區,建國北路高架橋下G區,1,1,25.059301751515566,121.53697568073605,255
240,中山區,建國北路高架橋下H區,1,1,25.060757063967213,121.5369534287414,246
241,中山區,建國北路高架橋下IA區,1,1,25.063370808129342,121.53704415384337,57
242,中山區,建國北路高架橋下IB區,1,1,25.064441917933692,121.53701309148192,142
243,中山區,建國北路高架橋下J區,1,1,25.06584184788999,121.53607740698712,113
244,大安區,建國南路高架橋下A區,1,1,25.02789617866092,121.5377926731941,281
245,大安區,建國南路高架橋下D區,1,1,25.032810671175096,121.53782808747165,64
246,大安區,建國南路高架橋下C區,1,1,25.031642493488693,121.53786231413791,106
247,大安區,建國南路高架橋下B區,1,1,25.02915581680987,121.5378068734153,236
248,大安區,建國南路高架橋下F區,1,1,25.04113954592723,121.53732381244272,88
249,大同區,啟聰學校地下停車場,1,1,25.074641870733274,121.51203169173384,175
250,北投區,忠誠路(一)平面停車場,1,2,25.10735332512572,121.52972193049528,23
251,士林區,忠誠路(二)平面停車場,1,2,25.106657931453597,121.52938388061,34
252,信義區,吳興街220巷平面停車場,1,2,25.025650126728607,121.56041150257381,94
253,信義區,吳興街220巷(一)平面停車場,1,2,25.027368864223746,121.56168626275498,135
254,信義區,吳興街220巷(二)平面停車場,1,2,25.02615758472686,121.55851916057149,163
255,士林區,兒童新樂園附設停車場,1,2,25.097539653079743,121.51483696026028,442
256,北投區,振華公園旁平面停車場,1,2,25.115293152460662,121.51823411068472,235
257,士林區,福港街平面停車場,1,2,25.08718836149025,121.51862685668847,65
258,中山區,兒童育樂中心平面停車場,1,2,25.075169394264673,121.52203232456763,88
259,中山區,中山北路三段55巷平面停車場,1,2,25.06801628430152,121.52364806061159,58
260,松山區,臺北小巨蛋地下停車場,1,2,25.051243931197543,121.55093108352256,460
261,士林區,百齡橋旁平面停車場,1,2,25.087896385278984,121.51096346130164,142
262,中山區,林森北路399巷臨時平面停車場,1,2,25.05985681028404,121.526966527811,93
263,中山區,億光大樓停車場,1,2,25.0422673946945,121.53803027474943,122
264,大安區,便利停車場大安地政事務所站,1,2,25.033741666749936,121.55650767325866,70
265,中正區,台灣聯通光華商場停車場,1,2,25.045326643311892,121.53201481157132,83
266,士林區,至誠平面停車場,1,2,25.101975834839394,121.53135074861257,81
267,北投區,關渡醫院旁平面停車場,1,2,25.12033218257572,121.46571655561549,33
268,北投區,公館路平面停車場,1,2,25.12122086061408,121.50289636602434,129
269,士林區,明德臨時平面停車場,1,2,25.11554525851836,121.52077225770424,29
270,內湖區,環山平面停車場,1,2,25.08572577209078,121.57206923653615,85
271,內湖區,文湖平面停車場,1,2,25.086475545227806,121.56088384493708,33
272,中山區,龍江平面停車場,1,2,25.054071563029915,121.54188753457397,27
273,中正區,台灣聯通仁愛停車場,1,2,25.038529765990134,121.52666649872673,30
274,中山區,台灣聯通新生停車場,1,2,25.056540011055237,121.52629843562815,55
275,中山區,台灣聯通華泰王子停車場,1,2,25.05736018878533,121.52566743266335,56
276,松山區,台灣聯通復興北停車場,1,2,25.051132222851287,121.54464808952534,28
277,中正區,台灣聯通杭州停車場,1,2,25.042585422731225,121.52662424064604,53
278,中山區,台灣聯通天津停車場,1,2,25.050909925168103,121.52284724569687,50
279,中山區,台灣聯通新興停車場,1,2,25.06239211539695,121.52542528203576,39
280,大安區,台灣聯通福安停車場,1,2,25.03733546376941,121.55312365579293,56
281,松山區,台灣聯通南三停車場,1,2,25.052024032823642,121.54729567661376,39
282,中正區,良友八德停車場,1,2,25.04312990874436,121.53103698122638,52
283,大同區,臺北大橋橋下停車場,1,2,25.063085745497713,121.51014890748041,89
284,中山區,台灣聯通長榮停車場,1,2,25.04884282075556,121.53326998987866,78
285,大安區,臺灣聯通敦南停車場,1,2,25.022598032527647,121.54834788290559,60
286,大安區,台灣聯通科技停車場,1,2,25.025880691209718,121.54415870936832,29
287,大安區,台灣聯通敦化場停車場,1,2,25.044270022587686,121.55154125235438,49
288,大安區,台灣捷通古亭停車場,1,2,25.023539045460446,121.52542043530896,63
289,大安區,四維路成功市場臨時攤棚,1,2,25.02682287671766,121.54838019107493,55
290,中山區,台灣聯通國賓停車場,1,2,25.0568823119237,121.52255239281052,78
291,松山區,台灣聯通八德停車場,1,2,25.049868853085606,121.56421186939714,78
292,中山區,台灣聯通北科大停車場,1,2,25.045130130374382,121.53549981451098,112
293,中正區,台灣聯通重慶停車場,1,2,25.04465926777583,121.5136000094176,111
294,松山區,台灣聯通監理站停車場,1,2,25.04817303245014,121.55898028714567,64
295,信義區,台灣聯通基隆路停車場,1,2,25.03278041319888,121.55913884791646,57
296,中山區,台灣聯通長春停車場,1,2,25.05515436551887,121.52395424683337,17
297,文山區,和平東路四段３８１巷平面停車場,1,2,24.999506564380724,121.57480420006408,24
